Country,Year,GDPPC,LifeExpectancy,Population,Region
British Virgin Islands,1835,NA,NA,6700,America
Brunei,1835,1596,29.2,2632,East Asia & Pacific
Bulgaria,1835,1176,37.3399999999999,2287551,Europe & Central Asia
Burkina Faso,1835,489,29.2,1792717,Sub-Saharan Africa
Burundi,1835,432,31.5,972428,Sub-Saharan Africa
Cambodia,1835,926,35,2137966,East Asia & Pacific
Cameroon,1835,675,28.75,1916391,Sub-Saharan Africa
Canada,1835,1781,39.55472,1202146,America
Cape Verde,1835,566,33.8,61014,Sub-Saharan Africa
Cayman Islands,1835,1153,NA,2645,America
Central African Republic,1835,457,30,503090,NA
Chad,1835,451,30.9,1432000,Sub-Saharan Africa
Channel Islands,1835,NA,NA,46894,Europe & Central Asia
Chile,1835,1039,32,969062,America
China,1835,986,32,402373519,East Asia & Pacific
